epoch,train_loss,val_log_loss,val_auroc,lr
0,0.4846403654664755,7.494671048710488,0.847286310700945,0.0009984586668665642
1,0.4364333972334862,0.9799869804215402,0.873681608437706,0.000993844170297569
2,0.40696821361780167,0.9105520686543157,0.8803559657218193,0.0009861849601988384
3,0.40701970271766186,0.3862536896884564,0.8944737420347176,0.0009755282581475773
4,0.38105770759284496,1.143917546955755,0.9076301911667766,0.0009619397662556438
5,0.3500599283725023,0.38774032969187533,0.9227642276422765,0.0009455032620941843
6,0.34000589326024055,0.3777511830336861,0.9245770160404307,0.0009263200821770463
7,0.36409202218055725,0.3498017802347254,0.9269391342562074,0.000904508497187474
8,0.3291862327605486,0.40992610396362034,0.931910569105691,0.0008802029828000157
9,0.3255785033106804,0.30794769149439144,0.9386673258624479,0.0008535533905932737
10,0.29308091569691896,0.3589332856539822,0.9463304768182816,0.0008247240241650919
11,0.2809268459677696,0.36846598985572937,0.9528675016479895,0.0007938926261462361
12,0.27170915342867374,0.26182318971753815,0.9567677433531092,0.0007612492823579742
13,0.2845550263300538,0.298076695675072,0.9510821797407163,0.0007269952498697733
14,0.27430202905088663,0.28611106502821865,0.9478136673258625,0.000691341716182545
15,0.2701483806595206,0.28412638873792223,0.9508349813227861,0.0006545084971874737
16,0.269670482724905,0.27683431125705577,0.9486101955614151,0.000616722681927953
17,0.2704444723203778,0.2683312770777689,0.9500659195781148,0.0005782172325201156
18,0.2594669293612242,0.27467812927664004,0.9491320588881565,0.0005392295478639226
19,0.2556003136560321,0.31174925217507443,0.9495989892331356,0.0005000000000000001
20,0.2530135456472635,0.27054371816990963,0.9519611074489124,0.0004607704521360777
21,0.2388021619990468,0.2533265604977025,0.9555592177543397,0.00042178276747988476
22,0.25223957654088736,0.37878744422589655,0.9506976488683806,0.00038327731807204744
23,0.23156345635652542,0.28959608980865537,0.950587782904856,0.0003454915028125264
24,0.2265372220426798,0.26462761982983085,0.9532794990112063,0.00030865828381745517
25,0.2213768968358636,0.2572097754009722,0.9559986816084377,0.00027300475013022674
26,0.23107212129980326,0.2563618709407019,0.9572346736980883,0.00023875071764202572
27,0.22262410167604685,0.2518028324503396,0.9573445396616128,0.00020610737385376356
28,0.2160939071327448,0.25121461530023226,0.9570149417710394,0.00017527597583490826
29,0.21469655726104975,0.24824901942654135,0.958031201933641,0.00014644660940672628
30,0.19759358512237668,0.2534537586201476,0.9574818721160184,0.00011979701719998457
31,0.22595274355262518,0.2528514176080219,0.958031201933641,9.549150281252634e-05
32,0.2001772364601493,0.2460113780100118,0.9592397275324105,7.367991782295393e-05
33,0.19812237657606602,0.24294048879884309,0.9604482531311799,5.449673790581612e-05
34,0.2031272049061954,0.24280079502826538,0.9606954515491101,3.806023374435663e-05
35,0.19418453518301249,0.24479339791039242,0.9603933201494177,2.4471741852423235e-05
36,0.2079836423508823,0.24751695395384796,0.9607229180399912,1.3815039801161723e-05
37,0.19056831113994122,0.24621743717267347,0.9607229180399911,6.155829702431172e-06
38,0.1921508419327438,0.24615799716820658,0.9605581190947043,1.5413331334360182e-06
39,0.1823218441568315,0.24611155864079728,0.9602559876950121,0.0
