epoch,train_loss,val_log_loss,val_auroc,lr
0,1.7088730782270432,1.4686434041536764,0.6018774922463448,0.00029953760005996916
1,1.3203534446656704,1.2811813923297433,0.791565130704475,0.00029815325108927074
2,0.9336336217820644,0.9195716586512163,0.85594816127603,0.0002958554880596516
3,0.7724399715662003,0.8813231932618862,0.8440130704474967,0.00029265847744427314
4,0.8284997567534447,0.7888993632750765,0.8597972972972973,0.0002885819298766931
5,0.6413990389555693,0.8530630050314543,0.8529297740363314,0.0002836509786282553
6,0.6282586771994829,0.7321252150946158,0.8627326096588391,0.00027789602465311394
7,0.519678046926856,0.6182636843975704,0.8779353123615419,0.0002713525491562423
8,0.390439604409039,0.567049555576479,0.8770768719539211,0.00026406089484000476
9,0.3893635580316186,0.5732889907908539,0.8702093486929553,0.0002560660171779821
10,0.3604737529531121,0.5447066687984767,0.8712339388568897,0.00024741720724952754
11,0.3163041267544031,0.5168820474714878,0.8740584847142224,0.00023816778784387094
12,0.30633089784532785,0.47958967903760374,0.89053500221533,0.00022837478470739237
13,0.30722594168037176,0.472702944045305,0.8965717766947274,0.0002180985749609321
14,0.29807390458881855,0.5078255075684476,0.8936918475852903,0.00020740251485476356
15,0.2848963811993599,0.4476982630647739,0.9030239255649092,0.00019635254915624222
16,0.2932410202920437,0.41757611041180553,0.9113867966326983,0.00018501680457838588
17,0.2571634966880083,0.40339281499661117,0.9129929109437307,0.00017346516975603468
18,0.2635820279829204,0.39378218568980355,0.9138790429774035,0.0001617688643591767
19,0.2920016525313258,0.3820762213512757,0.9200542755870624,0.00014999999999999996
20,0.24941442348062992,0.37049775161538084,0.9224634470536109,0.0001382311356408232
21,0.25748911686241627,0.3637368338622487,0.9239034116083297,0.00012653483024396533
22,0.22968250513076782,0.3574039212298604,0.9250941515285778,0.00011498319542161412
23,0.23450905829668045,0.3524510967383602,0.9264233495790873,0.00010364745084375783
24,0.2355772014707327,0.35317147715672553,0.9276140894993354,9.259748514523646e-05
25,0.2326304605230689,0.3531595457479687,0.92766947275144,8.190142503906792e-05
26,0.2098907995969057,0.3572907649572669,0.9274479397430216,7.162521529260763e-05
27,0.2124229925684631,0.35785552636176293,0.9273925564909171,6.1832212156129e-05
28,0.20523180346935987,0.3600137612752172,0.9274479397430216,5.258279275047242e-05
29,0.22399685624986887,0.359481863004283,0.9287494461674789,4.393398282201782e-05
30,0.21518058888614178,0.36385608024130406,0.9291925121843152,3.59391051599953e-05
31,0.21143065625801682,0.36877127018415795,0.9287771377935312,2.8647450843757853e-05
32,0.19252347201108932,0.3682187798163304,0.9293032786885245,2.210397534688614e-05
33,0.20249785110354424,0.3671856832682827,0.9298848028356226,1.63490213717448e-05
34,0.1823665495030582,0.36730982697966674,0.9297186530793088,1.1418070123306965e-05
35,0.17746175033971667,0.3657150911274915,0.9294694284448383,7.341522555726956e-06
36,0.19301351299509406,0.3641880323242541,0.9299401860877271,4.1445119403485104e-06
37,0.18278189888224006,0.3639178390860393,0.9300786442179884,1.846748910729349e-06
38,0.2086880449205637,0.36503732370084613,0.9296909614532565,4.62399940030805e-07
39,0.20306657627224922,0.36391674071732394,0.9299955693398316,0.0
