epoch,train_loss,val_log_loss,val_auroc,lr
0,1.8413154302221355,1.74998150415146,0.7035888347363757,0.0002995376000599693
1,1.0668195395758657,0.9469614718730047,0.8645325653522375,0.00029815325108927085
2,1.052134316075932,0.6412750619349857,0.909503766061143,0.00029585548805965165
3,0.7153940069856066,0.5533667296932899,0.9247895436420027,0.0002926584774442733
4,0.7086265388537537,0.5958682813126689,0.910279131590607,0.00028858192987669316
5,0.5981796808315046,0.5144618885846262,0.9133529020824103,0.0002836509786282554
6,0.5656405971808867,0.45490415591763445,0.9253156845369961,0.00027789602465311405
7,0.45591224684859766,0.47415485164317384,0.9225188303057156,0.0002713525491562424
8,0.4060799849755836,0.42405606116400757,0.9275587062472309,0.000264060894840005
9,0.31670235752156284,0.37496248384460046,0.9349246787771378,0.00025606601717798256
10,0.33665114866964746,0.3570292009389588,0.9430660168365086,0.00024741720724952797
11,0.2814783431363828,0.35942265494343456,0.9418752769162606,0.00023816778784387134
12,0.277039724317464,0.33943465758135793,0.9441182986264954,0.00022837478470739273
13,0.3681235191496936,0.3212047165939404,0.9479397430217104,0.0002180985749609324
14,0.266486628714836,0.32671056617164485,0.9450044306601683,0.00020740251485476378
15,0.27671579926302936,0.34911270065472977,0.938579973416039,0.00019635254915624232
16,0.27022147133494867,0.35474166268547297,0.9366969428444838,0.000185016804578386
17,0.24750622565096075,0.36216280989694555,0.9368077093486928,0.00017346516975603484
18,0.21850898252292114,0.3664252291345316,0.9405183872396988,0.00016176886435917702
19,0.22229334237900647,0.36844582980359764,0.9425675675675675,0.00015000000000000023
20,0.23751703649759293,0.3675473447700617,0.9432321665928223,0.00013823113564082358
21,0.2248108648892605,0.365366385168154,0.9434260079751884,0.0001265348302439656
22,0.20103297168106743,0.35913125043531563,0.9451982720425344,0.00011498319542161438
23,0.18515867830225916,0.36243756588577614,0.9458351794417367,0.00010364745084375806
24,0.19503116381890845,0.36373403143637173,0.9451151971643775,9.259748514523671e-05
25,0.21188220923597162,0.3668116346006576,0.944589056269384,8.190142503906816e-05
26,0.21372619598652376,0.37206793538703525,0.9433429330970314,7.162521529260782e-05
27,0.16740977944749774,0.372608744726756,0.943592157731502,6.183221215612917e-05
28,0.16861926436875807,0.37832101217863184,0.9430106335844042,5.2582792750472545e-05
29,0.1737396986872861,0.38009185138779317,0.9424014178112539,4.393398282201795e-05
30,0.17818779893445247,0.3844743659151318,0.9418752769162604,3.593910515999544e-05
31,0.17253284404675165,0.39032439987229545,0.9411829862649534,2.864745084375797e-05
32,0.16338016792680277,0.39346073689406863,0.9409337616304829,2.2103975346886232e-05
33,0.1799379973249002,0.39506548143734643,0.9406291537439078,1.6349021371744884e-05
34,0.16507842075644116,0.3933396927558347,0.9414599025254763,1.141807012330702e-05
35,0.18553427697131128,0.38985528824072185,0.9415706690296854,7.341522555726992e-06
36,0.15964496666283318,0.39300534865213826,0.9412937527691626,4.144511940348532e-06
37,0.13766426333423817,0.39211290982076813,0.9420691182986265,1.846748910729358e-06
38,0.16883922153801628,0.3942058859831102,0.9420414266725743,4.6239994003080723e-07
39,0.1583099417162664,0.3924175328482382,0.942318342933097,0.0
