epoch,train_loss,val_log_loss,val_auroc,lr
0,0.9428206533193588,0.6579622121313946,0.7221215117556581,0.00029953760005996916
1,0.5341716539114714,0.5645935215940255,0.8156174467150077,0.00029815325108927074
2,0.38555783219635487,0.3758597362548672,0.9115029663810152,0.0002958554880596516
3,0.3642244450747967,0.3496413908430971,0.9312788398154251,0.00029265847744427314
4,0.36585112661123276,0.321871679730202,0.93847506042628,0.0002885819298766931
5,0.32891484815627337,0.32019143869832334,0.9423478356405185,0.0002836509786282553
6,0.31795139238238335,0.3034563485775551,0.9444627554383653,0.00027789602465311394
7,0.2948865136131644,0.31793953673929776,0.9416062403867281,0.0002713525491562423
8,0.28013491723686457,0.3318170321714345,0.9368270709734124,0.00026406089484000476
9,0.2638376601971686,0.3140178703203228,0.9432542298395956,0.0002560660171779821
10,0.25023329351097345,0.30823874933932166,0.9422654361678753,0.00024741720724952754
11,0.24968594405800104,0.32240480419893425,0.9396835860250494,0.00023816778784387094
12,0.224577228538692,0.3322775590325757,0.9410569105691058,0.00022837478470739237
13,0.24310690397396684,0.34183644566033305,0.9419907712590639,0.0002180985749609321
14,0.2074766093865037,0.33798340577389735,0.9415787738958471,0.00020740251485476356
15,0.21535864751785994,0.35418036784625107,0.9385299934080421,0.00019635254915624222
16,0.21329571772366762,0.353082423903552,0.9403702482970776,0.00018501680457838588
17,0.22339827427640557,0.338245029741345,0.9438035596572182,0.00017346516975603468
18,0.20151054300367832,0.3337495426593645,0.9440507580751484,0.0001617688643591767
19,0.19427749235183,0.3353148081782053,0.9442979564930783,0.00014999999999999996
20,0.19915841007605195,0.33732991796014744,0.9441880905295539,0.0001382311356408232
21,0.16775031760334969,0.34062179840184553,0.9446000878927708,0.00012653483024396533
22,0.15706157148815691,0.3609012036011254,0.9430619644034278,0.00011498319542161412
23,0.14869449706748128,0.37173739527700506,0.9429246319490221,0.00010364745084375783
24,0.1500411257147789,0.3878022898758753,0.9408646451329379,9.259748514523646e-05
25,0.12524649943225086,0.4092973884971023,0.9385299934080422,8.190142503906792e-05
26,0.15331845683977008,0.4417114885914459,0.9362777411557899,7.162521529260763e-05
27,0.12706894823350012,0.4541504724072705,0.936744671500769,6.1832212156129e-05
28,0.13521412969566882,0.4660562063486996,0.9369644034278182,5.258279275047242e-05
29,0.12287690956145525,0.4722525334298309,0.9366897385190068,4.393398282201782e-05
30,0.11382801667787135,0.48269248478711385,0.9360580092287409,3.59391051599953e-05
31,0.11651864601299167,0.4908851549904694,0.9358108108108109,2.8647450843757853e-05
32,0.09091043239459395,0.49390787102983225,0.9354812129202373,2.210397534688614e-05
33,0.11932140588760376,0.4995868041808757,0.9353988134475939,1.63490213717448e-05
34,0.12125556915998459,0.5015252233792383,0.9358932102834543,1.1418070123306965e-05
35,0.1102514867670834,0.5029125772971331,0.9351516150296638,7.341522555726956e-06
36,0.09254997200332582,0.5001855570929984,0.9358108108108107,4.1445119403485104e-06
37,0.12292513670399785,0.5012134808123136,0.935234014502307,1.846748910729349e-06
38,0.109414097154513,0.5009667248071968,0.9355361459019995,4.62399940030805e-07
39,0.09916740912012756,0.5025657052918566,0.9351241485387826,0.0
