group,n,prevalence,auroc,log_loss,log_loss_prevalence_baseline
2.5,520,0.5942307692307692,0.9244313563091457,0.33662913983636206,0.6871898142040128
3.9,325,0.5815384615384616,0.9318783068783069,0.34016866294988213,0.6839854561975252
2.3,206,0.5,0.9576774436798945,0.26664514972358705,0.6993149264841032
2.4,151,0.47019867549668876,0.9514084507042253,0.2901906276087133,0.7063621005099092
other,111,0.4774774774774775,0.9486011711125569,0.27819738049336656,0.7036326040693006
1.5,40,0.375,0.9440000000000001,0.28200392411796915,0.7248011612956514
