epoch,train_loss,val_log_loss,val_auroc,lr
0,2.308016175404191,2.4179755708018305,0.6533029878618114,0.0002995376000599693
1,1.0998329469002783,1.1399989180763623,0.8692226890756302,0.00029815325108927074
2,0.7977473083883524,0.8049633325612814,0.8387215997510115,0.0002958554880596517
3,0.809856291860342,0.9645342010236483,0.8397525676937442,0.0002926584774442734
4,0.6087711327709258,0.7584623779927046,0.8678415810768753,0.0002885819298766934
5,0.48709472618065774,0.5828105741004523,0.8984788359788359,0.0002836509786282556
6,0.4821702507324517,0.5578124633237815,0.8851346093993152,0.00027789602465311426
7,0.35924425767734647,0.5589268225912375,0.8964947089947091,0.00027135254915624244
8,0.39033516123890877,0.5446383615124908,0.9065904139433552,0.0002640608948400049
9,0.29034676495939493,0.4921422497911185,0.9126595082477434,0.0002560660171779824
10,0.34305999940261245,0.4607566878803767,0.9116868969810146,0.0002474172072495278
11,0.30701590585522354,0.43399406780972755,0.918903672580143,0.0002381677878438712
12,0.26775783277116716,0.4540394502797884,0.9147214441332088,0.00022837478470739264
13,0.31099235941655934,0.4438147237625311,0.9159469343292871,0.00021809857496093228
14,0.3014196720905602,0.4266940918098401,0.9211990351696234,0.00020740251485476378
15,0.2318643587641418,0.4081853369865866,0.9228913787737317,0.00019635254915624238
16,0.25741033162921667,0.4038451463142918,0.9258870214752567,0.000185016804578386
17,0.23551759216934443,0.40473622743216325,0.9254785247432307,0.0001734651697560347
18,0.21648526983335614,0.39802399581558817,0.9257508558979147,0.0001617688643591769
19,0.21631568134762347,0.37499631476144574,0.9266262060379707,0.00015000000000000012
20,0.19649031676817685,0.3895508919148216,0.9242724867724867,0.0001382311356408234
21,0.26342420023866,0.3944282316828164,0.9237278244631185,0.00012653483024396551
22,0.17109734076075256,0.39274123725139287,0.9237083722377839,0.00011498319542161435
23,0.23098458745516837,0.39310657457128817,0.9240390600684718,0.00010364745084375802
24,0.1524952285690233,0.38982270408047015,0.9251283846872081,9.259748514523667e-05
25,0.18458197626750916,0.40120044588933085,0.9256730469965765,8.190142503906807e-05
26,0.15784657141193748,0.4166027579328463,0.9251089324618736,7.162521529260779e-05
27,0.1797447603312321,0.41068836470905845,0.9251283846872083,6.183221215612912e-05
28,0.15629596216604114,0.40366762818458485,0.9258870214752567,5.2582792750472545e-05
29,0.18054934649262577,0.3977742758957862,0.9280267662620604,4.3933982822017924e-05
30,0.16359680431196466,0.39571201730042416,0.9297774665421723,3.593910515999538e-05
31,0.14233901933766901,0.39851155722820486,0.9292133520074697,2.8647450843757914e-05
32,0.14975330885499716,0.4002248143097761,0.929057734204793,2.210397534688619e-05
33,0.1649595758644864,0.4007515079375244,0.9287464985994397,1.6349021371744847e-05
34,0.1444968756986782,0.3960987382482608,0.9289021164021165,1.1418070123307e-05
35,0.1477381170843728,0.3952975353855823,0.9284352629940865,7.341522555726976e-06
36,0.14482012100052088,0.39622815057684707,0.9282990974167444,4.144511940348521e-06
37,0.15008032671175897,0.39689411354978266,0.9274626517273575,1.8467489107293532e-06
38,0.14370625221636146,0.39506530085802233,0.928454715219421,4.62399940030806e-07
39,0.12583232158795,0.3986583988597976,0.9277933395580454,0.0
