epoch,train_loss,val_log_loss,val_auroc,lr
0,0.5397802758961916,0.8338065087784763,0.8205028799291095,0.0009984586668665642
1,0.4136363882571459,0.42464440007362003,0.9078976517501107,0.000993844170297569
2,0.3944900631904602,0.37022943968226146,0.9332631812140009,0.0009861849601988384
3,0.3427834641188383,0.7377489042386514,0.9501273814798405,0.0009755282581475773
4,0.3194145979359746,0.310079869228842,0.9397984049623395,0.0009619397662556438
5,0.32018762081861496,0.3137067442095408,0.9461120957022596,0.0009455032620941843
6,0.3052709549665451,0.5039320722021831,0.9556380150642445,0.0009263200821770463
7,0.3097774237394333,0.32300535073155084,0.949767390341161,0.000904508497187474
8,0.30285815615206957,0.26959387383480526,0.9518996455471865,0.0008802029828000157
9,0.2885577017441392,0.2915829379110307,0.9576041205139566,0.0008535533905932737
10,0.2867055516690016,0.2520362373313578,0.9615640230394329,0.0008247240241650919
11,0.29896911326795816,0.2590142515058663,0.9576595037660611,0.0007938926261462361
12,0.2729151947423816,0.24960031334101238,0.960400974745237,0.0007612492823579742
13,0.2803398547694087,0.25313619266162846,0.9636962782454586,0.0007269952498697733
14,0.2740830983966589,0.25154322398416024,0.9635301284891449,0.000691341716182545
15,0.27153130527585745,0.23257930165088095,0.9676284891448825,0.0006545084971874737
16,0.26762316655367613,0.2545527791658004,0.9653577758085955,0.000616722681927953
17,0.25952523201704025,0.23291816737751078,0.9668254319893663,0.0005782172325201156
18,0.24857449810951948,0.23865602893123308,0.9663269827204254,0.0005392295478639226
19,0.23576765833422542,0.23743282501723004,0.9652470093043863,0.0005000000000000001
20,0.2625873675569892,0.23763775906634815,0.9651639344262295,0.0004607704521360777
21,0.2424032250419259,0.24622338070965735,0.9658285334514842,0.00042178276747988476
22,0.23937014862895012,0.241904343273049,0.966880815241471,0.00038327731807204744
23,0.23499028384685516,0.2302119308863666,0.9665208241027914,0.0003454915028125264
24,0.23648482002317905,0.22742662619171428,0.9681269384138236,0.00030865828381745517
25,0.2391395242884755,0.2272072161571937,0.9675177226406734,0.00027300475013022674
26,0.23514840565621853,0.22871577858675005,0.9666315906070004,0.00023875071764202572
27,0.22204174380749464,0.22908883963275384,0.9670192733717323,0.00020610737385376356
28,0.21948024909943342,0.2315380296345714,0.9667423571112095,0.00017527597583490826
29,0.22057048324495554,0.2338043839123675,0.9667146654851573,0.00014644660940672628
30,0.224837863817811,0.2348259862732145,0.9663823659725299,0.00011979701719998457
31,0.20551880728453398,0.23465492641377858,0.9660500664599025,9.549150281252634e-05
32,0.2066531414166093,0.2311742661096914,0.9664377492246344,7.367991782295393e-05
33,0.19685355992987752,0.23355353247366248,0.9663823659725299,5.449673790581612e-05
34,0.21080476371571422,0.23274384660359843,0.9661608329641116,3.806023374435663e-05
35,0.19195871613919735,0.23288963228791293,0.9662715994683209,2.4471741852423235e-05
36,0.1933667054399848,0.23496337215099805,0.9662439078422684,1.3815039801161723e-05
37,0.21834624372422695,0.2356846460882951,0.9662162162162162,6.155829702431172e-06
38,0.20173555612564087,0.23619952760482818,0.9665485157288436,1.5413331334360182e-06
39,0.20681966561824083,0.23649782807301967,0.9667700487372619,0.0
